用户ID|评论|点赞数
网易陕西省西安市网友--唯美X仙尊： |把中国的传统的优秀的文化传播到全世界去，把中国文化发扬光大，支持习大大！|0
网易陕西省西安市网友--唯美X仙尊： |亲民的小食形式，轻松的对话环境，习大大为我们展现的是中国当代领导人的自信和风采！|0
网易陕西省西安市网友--唯美X仙尊： |中文教育在英国日益受到重视反映出中英友好深入人心，也为中英关系未来发展播下了希望的种子。|0
网易陕西省西安市网友--唯美X仙尊： |此次习主席出访，达成的合作项目对双方国家发展都具有重要作用，期待更多合作！|0
网易河北省沧州市网友--陪我细水长流到白头： |习大大在国际上的一些演讲，让世界更了解中国，帮助中国更有效的融入世界|0
网易河北省唐山市网友 <span id=B6JQ6NRL class=cGray>ip：111.227.*.*：</span>|希望两国加强在体育界的合作，促进两国体育文化的发展。|23
网易安徽省合肥市巢湖市网友 <span id=B6JPRDFO class=cGray>ip：60.174.*.*：</span>|习大大也是个足球爱好者|82
网易甘肃省嘉峪关市网友 <span id=B6JPPECL class=cGray>ip：61.178.*.*：</span>|今年是中英全面战略伙伴关系第二个十年的开局之年，卡梅伦首相将今年称作英中关系的“黄金年”。习近平主席在中英关系的“黄金年”对英国进行国事访问正当其时。|0
网易甘肃省嘉峪关市网友 <span id=B6JPKCFV class=cGray>ip：61.178.*.*：</span>|今年是中英全面战略伙伴关系第二个十年的开局之年，卡梅伦首相将今年称作英中关系的“黄金年”。习近平主席在中英关系的“黄金年”对英国进行国事访问正当其时。|0
网易河北省唐山市网友 <span id=B6JPJDDG class=cGray>ip：27.191.*.*：</span>|习总书记勤政务实，一心为民，相信中国的明天更美好！|3
网易河北省唐山市网友 <span id=B6JP8J7T class=cGray>ip：27.191.*.*：</span>|希望孔子学院为传播文化、沟通心灵、促进世界文明多样性作出新的更大贡献。|3
网易河北省唐山市网友 <span id=B6JP6N51 class=cGray>ip：27.191.*.*：</span>|语言是一个国家最好的钥匙，孔子学院是世界认识中国的一个重要平台。|0
网易甘肃省嘉峪关市网友 <span id=B6JOT8Q2 class=cGray>ip：60.164.*.*：</span>|中英经贸协议的签署，为中英经济的交流奠定了基础，未来随着中英关系的共同发展，必将会给人民群众带来实惠。|0
网易河北省邯郸市网友 <span id=B6JN8ALH class=cGray>ip：221.193.*.*：</span>|习大大使中英两国走在了一起，中英利益共同体的打造会让中英两国继续进步。|0
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |事实证明能源方面的进展是互联网之后的重头戏！未来能源的需求将会是重中之重。|0
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |习近平主席此次访英不仅密切了中英关系，更加深刻表明了中英友好的国际关系。|0
网易河北省邯郸市网友--fb15230071258： |中英两个国家目前矛盾越来越少，共同利益越来越多，这说明即使社会制度不同，只要本着和平共处友好合作的原则，国家和国家之间可以保持良好的合作关系。|0
网易河北省邯郸市网友--fb15230071258： |希望中英合作登上新台阶。|0
网易河北省邯郸市网友--fb15230071258： |英国有很多传统文学作品，是英语文学的经典作品 ，中英两国应该加强古典文化的交流和互相开发力度。|0
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |习近平主席此次访英不仅密切了中英关系，更加深刻表明了中英友好的国际关系。|0
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |和平、合作、发展是时代的主题，中国实体经济潜力巨大。习近平主席访英，让中英经济贸易得到更深的合作，中国经济发展空间进一步扩大，美丽的中国梦一步步实现。|7
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |相信习总书记一定可以带领中国走向更加的稳定繁荣，相信习总书记会带领中国走向小康之路，习总好样的，不愧是人民所选出来的领导者，我坚决支持和拥护。|0
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |希望能成为开创东西方合作共嬴的典范。相信英国广大民众不会跟随美国死抱冷战思维。|0
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |两国通过加强人文交流进一步拉紧友好纽带，为中英关系注入持久、旺盛的生机活力。|1
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |150项合作协议，约400亿英镑。硕果累累，中英合作，共创美好未来！|1
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |150项合作协议，约400亿英镑。硕果累累，中英合作，共创美好未来！|0
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |习大大在伦敦金融城发表演讲时强调，中国人民走的是历史选择的道路，中国人民正走在正确的道路上。“履不必同，期于适足；治不必同，期于利民。”世界上没有放之四海而皆准的发展道路。只有能够持续造福人民的发展道路，才是最有生命力的。|0
网易内蒙古锡林郭勒盟二连浩特市网友--有树林： |中英两国是联合国安理会常任理事国、世界上两个举足轻重的经济体。近年来，唐宁街10号越来越坚定地拥抱崛起的中国。|0
网易海南省海口市网友 <span id=B6JJBRB4 class=cGray>ip：36.1.*.*：</span>|支持创意产业大发展！|0
网易山东省青岛市手机网友--哇卡呀比： |习大大好样哒！|0
网易北京市网友--zhiyanbuhui88： |英国有很多传统文学作品，是英语文学的经典作品 ，中英两国应该加强古典文化的交流和互相开发力度。|0
网易北京市网友--zhiyanbuhui88： |中英两个国家目前矛盾越来越少，共同利益越来越多，这说明即使社会制度不同，只要本着和平共处友好合作的原则，国家和国家之间可以保持良好的合作关系。|0
网易山东省青岛市手机网友--耀眼i： |支持习大大|0
网易海南省海口市网友 <span id=B6IE79PC class=cGray>ip：220.174.*.*：</span>|希望中英合作登上新台阶。|0
网易海南省海口市网友 <span id=B6IDLJPD class=cGray>ip：220.174.*.*：</span>|双方共达成约150项合作协议，涉及金额约400亿英镑，超出预期。|0
网易海南省海口市网友 <span id=B6IDK0VT class=cGray>ip：220.174.*.*：</span>|期待中英两国在更多领域更深层次的合作！|0
网易海南省海口市网友 <span id=B6IDE2BV class=cGray>ip：220.174.*.*：</span>|中国需要和平发展的环境，但决不会损害国家的领土和主权。|1
网易海南省海口市网友 <span id=B6IDCVGR class=cGray>ip：220.174.*.*：</span>|此次访英签署了大量协议，为中英经济的交流奠定了基础，未来随着中英关系的共同发展，必将会给人民群众带来实惠。|0
网易海南省海口市网友 <span id=B6ID64I6 class=cGray>ip：220.174.*.*：</span>|走我们自己的路，坚持到底，以习总书记为主的新一代党中央的带领下，中国定能傲立世界。|0
网易海南省海口市网友 <span id=B6ID6IQI class=cGray>ip：220.174.*.*：</span>|中英关系“黄金时代”的开启，是两国人民赢得更多福祉的开端，也是中国热情拥抱世界、深度融入世界的一个重要里程碑。|0
网易海南省海口市网友 <span id=B6ID6UHT class=cGray>ip：220.174.*.*：</span>|总书记为我们的祖国更加繁荣昌盛加油！支持|0
网易山东省青岛市手机网友--情何以堪a： |的确是一个领袖人才。|0
网易山东省青岛市手机网友--返璞归真l： |为习大大点赞|0
网易新疆乌鲁木齐市网友--120360114： |这算是007的广告吗|2
网易河北省沧州市网友--随吾心意： |中英两国领导人加强了解，增进友谊，直接推动中英关系向前发展。祝福祖国，祝福英国，愿中英两国友谊地久天长。|0
网易北京市海淀区网友--xiguatailang99： |中国坚持走和平发展道路，不接受“国强必霸”的逻辑。任何人、任何事、任何理由都不能动摇中国走和平发展道路的决心和意志。|0
网易北京市海淀区网友--xiguatailang99： |习大大在伦敦金融城发表演讲时强调，中国人民走的是历史选择的道路，中国人民正走在正确的道路上。“履不必同，期于适足；治不必同，期于利民。”世界上没有放之四海而皆准的发展道路。只有能够持续造福人民的发展道路，才是最有生命力的。|0
网易北京市海淀区网友--xiguatailang99： |英国哲学家罗素所说：“只有中国人最了解自己”，“只有他们自己慢慢摸索出的解决办法才是长久之计。”我们要坚定信心，走自己的路，造福人民！|0
网易北京市海淀区网友--xiguatailang99： |中英两国是联合国安理会常任理事国、世界上两个举足轻重的经济体。近年来，唐宁街10号越来越坚定地拥抱崛起的中国。|0
网易北京市海淀区网友--xiguatailang99： |“志合者，不以山海为远。”中国和英国需要远渡重洋，但时空的距离，不会阻碍走进中英之间温馨关系的发展。|0
网易北京市海淀区网友--xiguatailang99： |今年以来，中国经济增速进一步放缓，一些西方舆论不断唱空、唱衰中国。当此之际，英国继在西方大国中率先加入亚投行之后，主动提出打造未来10年双边关系的“黄金时代”。向全世界宣告，英国为中国和平崛起投下了信任票。|1
网易北京市海淀区网友--sanzhisongshu99： |英国首相卡梅伦直言不讳：“我们想成为中国强有力的盟友，因为中国经济在不断增长，中国正日渐崛起成为世界强国。”强大的朋友圈要靠雄起的经济实力做支撑！|0
网易北京市海淀区网友--sanzhisongshu99： |英方盛大而隆重的欢迎仪式，细心周到的行程安排，是对中英关系进入“黄金时代”的佐证。而一个个大单签署则是“黄金时代”的例证。|0
网易北京市海淀区网友--sanzhisongshu99： |英国公司将在上海及周边建设家庭娱乐为主题的乐高乐园（LEGOLAND Park），还将在全中国范围内开发一系列中小型室内外现场娱乐及主题公园项目。哇塞，看来，以后上海不仅有迪斯尼还有乐高乐园了，上海亲子游肯定要更火啦！|0
网易北京市海淀区网友--sanzhisongshu99： |英国政府宣布明年一月起将向中国游客提供新的两年期多次入境签证，而签证费用与目前的六个月签证费用相同。往来中英的小伙伴高兴喽！自由行也方便多啦，办一个签证，两年内来一次说走就走的旅行。|0
网易北京市海淀区网友--mengnalishadewx： |中英越来越成为你中有我、我中有你的利益共同体。温馨伙伴关系，经济是纽带。|0
网易海南省海口市网友 <span id=B6I9PJTK class=cGray>ip：221.182.*.*：</span>|《哈利波特》、《神探夏洛克》这些英剧也是可以看一看的，希望两国能在电影、文学、音乐等领域交流合作，把艺术节、电影节什么的放来中国举办个几届是最好了。|0
网易北京市海淀区网友--mengnalishadewx： |中英有很多个“第一次”，大家都知道吗？　新中国成立以来，两国关系创下了多项“第一”。英国是第一个承认新中国的西方大国，也是率先同中国建立全面战略伙伴关系的欧盟国家；是除香港外最大人民币境外交易中心，也是吸引中国留学生、开办孔子学院最多的欧盟国家。英国还是首个发行人民币国债的西方国家、最早申请加入亚洲基础设施投资银行的西方大国。真是长知识！|0
网易北京市海淀区网友--mengnalishadewx： |中国央行首次成功在伦敦发行一年期央行票据，最终票面利率3.1%，获得逾5倍超额认购。这就是国内买的国库券吧！现在人民币走出中国，走向世界，筹钱搞建设，一举两得。|0
网易北京市海淀区网友--mengnalishadewx： |我国核电企业首次在西方发达国家参与核电建设，未来中国核电企业还将在英国新的核电站项目建设运营中获得主要股份，并采用自主的“华龙技术”。从中国制造到中国技术、中国投资，走出国门的发展，不再停留在商品制造，升级为技术支持，真牛！|0
网易北京市海淀区网友--xiaoguishanshanai： |10月21日，以中广核为首的中国核电企业与法国电力公司（EDF）签署协议，将在英国欣克利角核电站项目中投资60亿英镑，持股33%。真没有想到中国企业将投资英国首个核电站项目。|0
网易北京市海淀区网友--xiaoguishanshanai： |除签署经贸协议外，此次国事访问中英两国还将探讨如何加强国际问题合作，包括应对恐怖主义和极端主义的威胁。随着近期英国一系列空前的部长级代表访华，英中两国关系正式进入“黄金时代”。|0
网易北京市海淀区网友--xiaoguishanshanai： |习近平主席访英期间，作为这次出访的重头戏，中英两国在经贸、文化等领域的投资合作当天也宣布再结硕果，双方共达成约150项合作协议，涉及金额约400亿英镑。可谓是历届中国领导人访问英国签署经济协议之最！|0
网易北京市海淀区网友--xiaoguishanshanai： |英国《金融时报》这样描述当下的中英关系：“英中两国的温馨关系与美中之间的谨慎关系形成对比，标志着伦敦和华盛顿在外交政策的一个重大问题上分道扬镳。”蜜月期的中英关系，值得期待。|0
网易河北省唐山市网友--shuangqiaoli0： |习近平主席此次访英不仅密切了中英关系，更加深刻表明了中英友好的国际关系。|0
网易河北省唐山市网友--shuangqiaoli0： |习近平此次访问将提升日益密切的中英合作，使“英国转向中国”的战略更加成熟。|0
网易河北省唐山市网友--shuangqiaoli0： |习近平主席此次访英，促进了双方经贸关系进一步加深，进而夯实中英友好的民意基石，携手促进世界持久和平与共同繁荣。|0
网易北京市网友--坛根儿大石头： |很喜欢英国，希望中英关系越来越深入，希望黄金年代带来中英的共同繁荣！|0
网易北京市网友--坛根儿大石头： |英国不愧是老牌工业强国，他们国家在创新与发展理念上有独到先进之处，希望这次交流能把这些先进的地方引入国内，也把我们的高铁和核电技术介绍给对方！互相学习，共同进步！|0
网易北京市网友--坛根儿大石头： |英国有基础设施改善需求，中国有基础设施建设企业和技术，相信1+1会产生大于2的效果！|0
网易北京市网友--坛根儿大石头： |从白金汉宫到乡间别墅，习大大在对英国全面了解的同时，也带去了中国人的自信与谦和，让英国人了解了中国和中国人！|0
网易北京市网友--坛根儿大石头： |150项合作协议，400亿英镑的金额，相信中英两国合作互利的黄金时代会如期而至！两国必将携手前行！|0
网易北京市网友--坛根儿大石头： |英国人在基因科学领域确实有着先进的技术，这是我们国家企业需要的，相信通过合作可以实现共同发展和互利双赢。|0
网易北京市网友--坛根儿大石头： |习大大向英国朋友展示了中国领导人的魅力，让更多英国人了解了中国人谦虚内涵的一面！|0
网易湖北省十堰市网友--茅箭： |中英关系“黄金时代”的开启，是两国人民赢得更多福祉的开端，也是中国热情拥抱世界、深度融入世界的一个重要里程碑。|0
网易北京市网友--坛根儿大石头： |我比较关注中英创意产业交流活动，作为老牌工业强国，英国的工业制造与创新有独到之处，与之合作可以推动中国制造的创新和发展。|0
网易北京市网友--坛根儿大石头： |两年期多次入境签证可以说是旅游爱好者的福音啊，以后去英国更加方便了！|0
网易北京市网友--坛根儿大石头： |没想到英国跟我们国家有这么多渊源，那么多“第一个”，希望两国一起携手，共同发展！|0
网易北京市网友--坛根儿大石头： |金融上的交流合作可能会对世界经济都产生巨大的影响，期待人民币和英镑的双赢发展！|0
网易北京市网友--坛根儿大石头： |中国核电企业走出了国门，而且是到一个传统工业强国承办项目，这是对中国制造的认可，也是对中国大国责任心的信任！|0
网易北京市网友--坛根儿大石头： |用黄金时代来形容即将到来的中英两国关系新时代最贴切了，相信两国人民将迎来更多的交流和共同的发展！|0
网易北京市网友--坛根儿大石头： |中英两国达成150多项协议，400多亿英镑，这个规模实在是惊人！两国关系迈进了新的时代！|0
网易北京市网友--坛根儿大石头： |中英两国同为世界大国，在国际政治经济等方面都起着举足轻重的作用，这次强强联手，必将迎来双赢！|0
网易北京市网友--坛根儿大石头： |用黄金时代来形容即将到来的中英两国关系新时代最贴切了，相信两国人民将迎来更多的交流和共同的发展！|0
网易北京市网友--坛根儿大石头： |中英两国达成150多项协议，400多亿英镑，这个规模实在是惊人！两国关系迈进了新的时代！|0
网易北京市网友--坛根儿大石头： |中英两国同为世界大国，在国际政治经济等方面都起着举足轻重的作用，这次强强联手，必将迎来双赢！|0
网易北京市海淀区网友--xiaoguishanshanai： |英国《金融时报》这样描述当下的中英关系：“英中两国的温馨关系与美中之间的谨慎关系形成对比，标志着伦敦和华盛顿在外交政策的一个重大问题上分道扬镳。”蜜月期的中英关系，值得期待。|0
网易北京市网友--四石不惑： |中英两国同为世界大国，在国际政治经济等方面都起着举足轻重的作用，这次强强联手，必将迎来双赢！|0
网易山东省菏泽市网友 <span id=B6I3230L class=cGray>ip：27.206.*.*：</span>|习总访英成果丰硕，合作的面很广，涉及领域也不在断的加深，相信中英之间的往来也将会越来越深入。|0
网易山东省菏泽市网友 <span id=B6I2R6UD class=cGray>ip：27.206.*.*：</span>|期待中英友好往来，共同发展！|0
网易山东省菏泽市网友 <span id=B6I2JC46 class=cGray>ip：27.206.*.*：</span>|新形势下，中英关系必将更加密切，习主席此次访英将推进双方加强合作，建立更紧密的合作伙伴关系，促进两国共同发展！|0
网易山东省菏泽市网友 <span id=B6I21O5A class=cGray>ip：27.206.*.*：</span>|习大大访英是双方真正互有需求的“拥抱”行动，相信此行必将促进两国关系迈上一个新台阶，必将会为两国人民带来更多的实惠和福祉!|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |重要场合成龙大哥都是穿中山装要补就是唐装，他都是要表达自己是中国人这一点，现在那些港青应该多想大哥学习！|19
网易安徽省芜湖市网友 <span id=B6I1M6OP class=cGray>ip：60.167.*.*：</span>|展现大国风采，在英伦国度展现了东方魅力，中英历史文化悠久，相互交流，共促发展！自豪、骄傲、振奋！|0
网易海南省海口市网友--m18208925806_2： |加深中英两国关系，相互学习，建立强大的双边关系，互利互赢。|0
网易海南省海口市网友--m18208925806_2： |加深中英两国关系，相互学习，建立强大的双边关系，互利互赢。|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |实现中华民族伟大复兴的中国梦，物质财富要极大丰富，精神财富也要极大丰富。|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |龙哥确实是中国人的国际名片！|12
网易北京市网友--葫芦小院： |开放、包容、互惠、共赢，中英“黄金时代”真的来了！|0
网易北京市网友--葫芦小院： |打造利益共同体，期待更多亮点和成绩！|0
网易北京市网友--葫芦小院： |期待中英两国在更多领域更深层次的合作！|0
网易北京市网友--葫芦小院： |在重大国际问题上加强合作是加深两国关系的绝好契机！|0
网易北京市网友--葫芦小院： |全世界都看到了中国的迅猛发展，受益了和中国的友好合作，祝福祖国更加繁荣昌盛！|0
网易北京市网友--方寸寄相思： |英国基础设施改善需求有望成为中英合作新亮点，未来潜力极大！|0
网易北京市网友--方寸寄相思： |为习大大的访英硕果点赞！|0
网易北京市网友--方寸寄相思： |全球化的趋势任何国家也躲避不了，无论是国家层面还是民众交流，互赢互利是前提，合作发展是基础，共同繁荣是愿景，愿中英友谊长存！|0
网易海南省海口市网友--m18208925806_2： |加深中英两国关系，相互学习，建立强大的双边关系，互利互赢。|0
网易北京市网友--方寸寄相思： |促进投资，惠及百姓，为中英两国战略伙伴关系的提升叫好！|0
网易北京市网友--方寸寄相思： |中英合作前景无限，造福两国人民！|0
网易湖南省岳阳市网友--紫月de枫： |希望中英两国共同发展，相信习大大会带我们走向美好的未来！！|0
网易海南省海口市网友--m18208925806_2： |中英友好往来，成为盟友，一定会为世界和平注入更多的元素|0
网易北京市网友--信件集： |看得人真眼热呀！想去英国旅游啦哈哈。据说白金汉宫就是电视上看到的那个模样，还是很值得流连的。|0
网易北京市网友--大力士就不吃菠菜： |这是英中关系非常重要的时刻，英中两国关系正式进入“黄金时代”！|0
网易北京市网友--信件集： |中英将是“利益共同体”的典范吗？拭目以待！充满期待！|0
网易北京市网友--大力士就不吃菠菜： |三千亿元大单！哇哦，习大大真牛！|0
网易北京市网友--信件集： |与世界沟通最前沿，打开外交的新局面！|0
网易北京市网友--大力士就不吃菠菜： |合作愉快，何乐不为|0
网易北京市网友--大力士就不吃菠菜： |150项合作协议，访英成果棒棒的！|0
网易北京市网友--信件集： |这个可不容易呀！！！！国核电业终于在英国书写下历史性的一笔，习大大到访第三天，中国核电企业与法国电力公司（EDF）签协议，将在英国欣克利角核电站项目中投资60亿英镑，持股33%。据说阻力很大，但是签署成功啦！！！！！不容易！这就叫硬实力！！！！|2
网易北京市网友--信件集： |我们为英国发展核电提供技术和资金，希望英国也能为中国带来实惠！希望互补带来真正的双赢！|0
网易北京市网友--信件集： |看这次出访好像看大片啊！过足了眼瘾!但不只有时装大片和美食，还有丰硕成果，中英两国在经贸、文化等领域的投资合作达成150项合作协议，涉及金额约400亿英镑！！！！大家关注下！|0
网易北京市网友--信件集： |为这一系列大手笔的外交成果点赞！|0
网易北京市网友--信件集： |大家好关注啊！我也来凑凑了解下！还是很有学习的必要呀~|0
网易北京市网友--信件集： |高度关注习大大和彭麻麻的此次出行！|0
网易北京市网友--信件集： |我国领导人的风度指数在飙升！|0
网易北京市网友--信件集： |如此隆重的安排，可见两国对未来合作的信心！|0
网易山东省青岛市手机网友--蓝色轨迹： |向，推动中越全面战略合作伙伴关系长期稳定健康发展|1
网易山东省青岛市手机网友--七年久： |只要习主席政策坚持下去，我们的国家就没有问题，一定会强大起来的|0
网易山东省青岛市手机网友--陪她笑i： |亲民，近民，好一位国家领导人，相信在他的带领下，国家会更加繁荣昌盛|0
网易山东省青岛市手机网友--铭记n： |支持习书记，带着全国人民一起实现中国梦|0
网易山东省青岛市手机网友--穻悅潇尨： |中国领导人的执政理念确实改变很大，更适合服务于中国目前的发展|0
网易山东省青岛市手机网友--七年久： |走我们自己的路，坚持到底，以习总书记为主的新一代党中央的带领下，中国定能傲立世界|1
网易山东省青岛市手机网友--i花心： |国人的骄傲，人民的主心骨，铿锵有力，彰显国威，祖国万岁|0
网易山东省青岛市手机网友--小妞噠咧咧： |习书记大国领袖风范，中国一定会越来越繁荣富强|0
网易北京市网友--小微来了： |希望英国能够就“与崛起的中国和平共处、互利共赢是一种怎样的体验”这个问题为各国提供范本式的答案，看好你哦~|0
网易北京市网友--小微来了： |看电视台采访问到对习大大访英有啥期待，有人答：《神探夏洛克》什么时候再上映？引人会心一笑，但是！昨天竟就来了消息——《神探夏洛克》圣诞特辑将在全球影院上映，包括中国！这就是习大大的力量么？！|0
网易山东省青岛市手机网友--老实人n： |支持习总，相信在您的带领下，百姓生活的会更好，国家会更繁荣昌盛|103
网易北京市网友--小微来了： |国之交在于民相亲，民相亲在于心相通，中英越来越成为你中有我、我中有你的利益共同体，朋友多了路好走，互利共赢，你好我好大家好~|0
网易山东省青岛市手机网友--自由天空h： |在主权这种核心利益问题上没有谈判的余地！谁要敢侵犯我们的国家，我们就要坚决反击！|0
网易北京市网友--小微来了： |愿中英全面战略伙伴关系的“黄金时代”气象万千、精彩纷呈。|0
网易北京市网友--小微来了： |愿中英全面战略伙伴关系的“黄金时代”气象万千、精彩纷呈。|0
网易北京市网友--小微来了： |孔子VS莎士比亚、武则天VS英国女王……中英比想象中有更多的相似之处~当中国风撞上英伦范，希望能撞出火花，撞出中英双方的美好未来。|0
网易北京市网友--IMLYN： |习大大访英是双方真正互有需求的“拥抱”行动，相信大大此行必将促进两国关系迈上一个新台阶，为两国人民带来更多的实惠!|0
网易山东省青岛市手机网友--有你我不怕： |胜利属于我们伟大的祖国、中国共产党、中国人民|128
网易北京市网友--IMLYN： |英国是第一个承认新中国的西方大国，是率先同中国建立全面战略伙伴关系的欧盟国家，是吸引中国留学生、开办孔子学院最多的欧盟国家……期待大大此行，中英双方能继往开来，务实合作，在高铁建设、民用核电等领域创下更多的“第一”。|0
网易山东省青岛市手机网友--曲终人散t： |力挺习大大，建设强大的党和强大国家|144
网易北京市网友--IMLYN： |你中有我、我中有你的全球化时代，领导人的出访不仅仅是串门，更多还是为咱老百姓谋福利。|0
网易山东省青岛市手机网友--你可知道p： | 习大大 加油 再接再厉 我们看好您！！|1
网易北京市网友--IMLYN： |英国对华签证有效期从６个月延长到2年了！允许多次入境，无需续签，最重要的是！费用仍是85英镑不变，未来还有可能和美国一样十年多次往返……大大访英第一天就带来如此好消息，这节奏再也没sei了~身未动，心已远吶……|0
网易北京市网友--IMLYN： |看伦敦各处张灯结彩、满城尽带中国红的架势，就知道傲娇的英国人为了此次习大大来访也是拼了呢。英方高规格的接待，可以说是中英关系步入“黄金十年”的缩影啊|0
网易北京市网友 <span id=B6HVGCG9 class=cGray>ip：111.206.*.*：</span>|“志合者，不以山海为远。”希望中英双方在平等交流中，取长补短，谋求共赢。|0
网易北京市网友 <span id=B6HVE70N class=cGray>ip：111.206.*.*：</span>|中英庄园会，散散步聊聊天，私人家庭式的款待一定能够让双方加强了解，增进友谊，推动中英关系向前发展。|0
网易山东省青岛市手机网友--小妞噠咧咧： |紧跟习总的脚步，积极响应他的号召，中国将变得更加繁荣富强|0
网易北京市网友 <span id=B6HVD286 class=cGray>ip：111.206.*.*：</span>|习大大彭麻麻终于和超长待机的女王见面了！（此处应有鲜花和掌声……）相信这几日英国民众打开报纸，也要被这画风惊呆——头版全是大大来访报道，里面还有整版整版的中企欢迎习大大访英的中文广告！很给力，很提气有木有~|0
网易北京市网友 <span id=B6HVD1C0 class=cGray>ip：111.206.*.*：</span>|习大大彭麻麻终于和超长待机的女王见面了！（此处应有鲜花和掌声……）相信这几日英国民众打开报纸，也要被这画风惊呆——头版全是大大来访报道，里面还有整版整版的中企欢迎习大大访英的中文广告！很给力，很提气有木有~|0
网易北京市网友 <span id=B6HVD3RJ class=cGray>ip：111.206.*.*：</span>|三！千！亿！元！的合作大单！习大大这次访英真是硕果累累呢。合作共赢，促经济发展更惠及百姓。|0
网易北京市网友--开心迷糊姐： |习总表现了做为国家领袖的大将之风|0
网易山东省青岛市手机网友--爆炸DS： |习总做的对、实实务实、现干部、说什么都能说到|0
网易陕西省西安市网友 <span id=B6HV8K8R class=cGray>ip：36.44.*.*：</span>|习总真真切切为我们人民考虑，有这样的主席我们平民百姓真的很幸福，支持习主席|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |通常被认为是英国最严格的大学，它授予一等学位的比例和每年的淘汰率都十分引人瞩目，尽管它是英国入学标准最高的大学之一。|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |帝国理工提供本科和研究生教育，共有五个学院，工程学院，医学院，自然科学院，生命科学院和商学院。除此之外，还有一个人文系，提供选修的政治，经济，历史，艺术和语言课程。 |0
网易山东省青岛市手机网友--鑫殇： |紧跟习总书记的脚步 支持党和政府 为国为民|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |2014年一月，美国理工名校理海大学（Lehigh University）校长Alice P Gast接受帝国理工学院邀请，担任新一届帝国理工学院校长。古老的帝国理工学院迎来了一位斗志昂扬、学术精湛的女校长。|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |帝国理工学院坐落于于伦敦市中心南肯辛顿，时至今日，曾就读、曾任职或现任职于帝国的校友中，共有15位诺贝尔奖获得者和2位菲尔兹奖获得者。|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |帝国理工曾是联邦大学伦敦大学的一个加盟学院，2007年7月在英女王伊丽莎白二世的授权下，正式脱离伦敦大学成为一所独立的大学。|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |英国教育界素有“三足鼎立”说法，文科牛津，理科剑桥，而工程当属帝国理工学院。|0
网易甘肃省酒泉市敦煌市网友--醉卧沙场555： |伦敦帝国学院（Imperial College London），又称帝国理工学院，或简称帝国理工，成立于1907年，位于英国伦敦，是英国罗素大学集团成员、金砖五校之一、欧洲IDEA联盟成员，是一所享誉全球的顶尖高等学府，在2014QS世界大学排名中名列第二。|0
网易山东省青岛市手机网友--来世拿肝对你： |您是中国共产党是中国人民的领导的核心|0
网易山东省青岛市手机网友--狼色风尚： |牢记习书记的重要指示 按照习书记的方针带领大家走向新生活|0
网易山东省青岛市手机网友--七年久： |我们坚信在习总书记的带领下，我们的生活会越来越好|0
网易山东省青岛市手机网友--乱了感觉1： |相信他会为使我国变的更加强大|0
网易山东省青岛市手机网友--這輩子只爱： |支持习主席，希望在主席的带领下，给百姓带来更多惠民政策|0
网易山东省青岛市手机网友--好好先森i： |习总时时处处以简朴务实的风格示人，以身作则地践行中国梦的理念，有这样的领导人，是|0
网易山东省济南市网友 <span id=B6HULEBE class=cGray>ip：58.59.*.*：</span>|习总真真切切为我们人民考虑，有这样的主席我们平民百姓真的很幸福，支持习主席|4
网易山东省济南市网友 <span id=B6HULFFC class=cGray>ip：58.59.*.*：</span>|支持习总书记辛勤劳动，人民感谢你！永远支持你|2
网易海南省海口市网友 <span id=B6HUNB4L class=cGray>ip：220.174.*.*：</span>|习总，您是新一代领导人的风范，中国会更加繁荣昌盛。|0
网易山东省青岛市手机网友--开心玫瑰： |习总书记让劳动者体面劳动的一番话语，真切感动人心|0
网易甘肃省兰州市网友 <span id=B6HUFK2I class=cGray>ip：61.178.*.*：</span>|发展中的中国，具有很多潜力，祝福和英国之间互惠互利，造福百姓|0
网易山东省青岛市手机网友--妩媚的女人： |针对当前错综复杂的国际形势，习主席的一系列重要讲话指明了我们前进道路的方向。坚定支持|0
网易山东省青岛市手机网友--落笔守护爱： |高举中国特色社会主义伟大旗帜，全面贯彻落实党的十八大精神，坚定不移深化改革开放,支持主席|0
网易山东省青岛市手机网友--小妞噠咧咧： |盼望习总能为中国人民带来幸福的日子|0
